Irradiance Corrected	no	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	
V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	
0.091385364	0.032916594	0.091384126	0.000689957449935115	0.091391698	0.000644105395439879	0.091382158	0.000666181386236257	0.091379538	0.000694543896715152	0.091386082	0.000698121537117808	0.091382942	-0.00137750867621205	0.091398852	0.000581419635969036	0.091398004	0.000555041717359557	0.091386076	0.000560129124212777	0.091394326	0.000519306470865714	0.091396484	0.0170156522358488	0.09139772	0.0170832032256728	0.04572258	0.017116931372841	0.045723914	0.0169904333507043	0.045709324	0.0164637393711904	0.04571619	0.016443432240835	-0.17759972	0.0165856814886449	-0.17762948	0.0172978810212762	-0.112418754	0.01725234200859	-0.112385174	0.0171307540131631	
0.098408136	0.032915544	0.09841505	0.000686788589935115	0.098412752	0.000641166035439879	0.098410794	0.000662928166236257	0.098408412	0.000691616456715153	0.098412048	0.000694986417117807	0.098413006	-0.00148417867621205	0.09842434	0.000578616115969036	0.09842348	0.000552407817359557	0.098419752	0.000557116164212777	0.09842681	0.000516114230865714	0.098429072	0.0170075182358488	0.098426814	0.0170829532256728	0.049240828	0.017117387372841	0.049241398	0.0169886073507043	0.049227144	0.0164680433711904	0.04923296	0.016435714240835	-0.16043968	0.0165773874886449	-0.16050606	0.0172836770212762	-0.090259938	0.01724918000859	-0.090216062	0.0171245740131631	
0.105435708	0.0329065	0.105442966	0.000683907169935115	0.10544353	0.000638152275439879	0.105433802	0.000659687346236257	0.105438462	0.000688457456715152	0.105445678	0.000692066937117807	0.10544064	-0.00159006607621205	0.105454878	0.000575527475969036	0.105456258	0.000549599277359557	0.105447614	0.000554242324212777	0.105452632	0.000513044750865714	0.105457978	0.0170038522358488	0.105456546	0.0170758812256728	0.052757456	0.017113819372841	0.052758884	0.0169820613507043	0.052746156	0.0164601813711904	0.05275054	0.016430894240835	-0.14338074	0.0165656074886449	-0.1434269	0.0172699270212762	-0.068157574	0.01723674000859	-0.068135456	0.0171085280131631	
0.112467154	0.032922042	0.112472686	0.000680850669935115	0.11247592	0.000635092155439879	0.112472726	0.000656038566236257	0.112476382	0.000685528996715153	0.112473644	0.000689015317117807	0.112475934	-0.00170044027621205	0.112484986	0.000572477135969036	0.112488786	0.000546954617359557	0.112485168	0.000551197044212777	0.112489556	0.000509801630865714	0.112494812	0.0169923122358488	0.112493526	0.0170695752256728	0.056262162	0.017120307372841	0.056263208	0.0169725553507043	0.05624738	0.0164619393711904	0.056253386	0.016422994240835	-0.126291664	0.0165510594886449	-0.126366048	0.0172633410212762	-0.0460655222	0.01723078800859	-0.0460350028	0.0170920980131631	
0.11948892	0.032910756	0.11949416	0.000677810229935115	0.11949758	0.000631973375439879	0.11948762	0.000652686506236258	0.11949876	0.000682311976715153	0.11950042	0.000685917877117807	0.11949712	-0.00181129847621205	0.11950728	0.000569437575969036	0.11950878	0.000544184077359557	0.1195013	0.000548230384212777	0.11950708	0.000506660790865714	0.11951524	0.0169936262358488	0.11951634	0.0170590792256728	0.059780648	0.017116549372841	0.059782504	0.0169715273507043	0.059763958	0.0164576233711904	0.059771968	0.016421248240835	-0.109149948	0.0165459574886449	-0.109214416	0.0172496790212762	-0.0240058902	0.01721972600859	-0.0239608768	0.0170749820131631	
0.12651874	0.032915676	0.12652146	0.000674697609935115	0.12652632	0.000628963555439879	0.12652398	0.000648864626236257	0.1265385	0.000678930996715152	0.12652762	0.000683183757117807	0.12652856	-0.00192388547621205	0.12653702	0.000566407595969036	0.1265395	0.000541422097359557	0.1265338	0.000545162524212777	0.12654282	0.000503354190865714	0.12654982	0.0169852222358488	0.12654664	0.0170561492256728	0.063295318	0.017115235372841	0.06329794	0.0169688513507043	0.063280964	0.0164579653711904	0.063289166	0.016419794240835	-0.092161948	0.0165282874886449	-0.092222222	0.0172418410212762	-0.0019607542	0.01721683600859	-0.0018894208	0.0170647480131631	
0.1335528	0.032900872	0.13355522	0.000671617909935115	0.13356862	0.000625802735439879	0.13355364	0.000644989846236257	0.13357018	0.000675837236715152	0.13356368	0.000680126337117807	0.13356142	-0.00203446787621205	0.13356974	0.000563221675969036	0.13357204	0.000538471237359557	0.1335653	0.000542195884212777	0.13357188	0.000500104110865714	0.13358098	0.0169826242358488	0.13358062	0.0170414272256728	0.066795826	0.017114677372841	0.066802026	0.0169616773507043	0.06678357	0.0164577913711904	0.066792012	0.016416420240835	-0.075107196	0.0165241034886449	-0.075135046	0.0172328870212762	0.0201892858	0.01720293400859	0.0202629072	0.0170528360131631	
0.14058386	0.032894498	0.14057988	0.000668496909935115	0.14059334	0.000622679915439879	0.14058956	0.000640656186236258	0.1406033	0.000672442236715152	0.14058822	0.000677179177117807	0.14059228	-0.00214262147621205	0.14059884	0.000560402935969036	0.1405999	0.000535482977359557	0.14059394	0.000539031464212777	0.14060474	0.000496786090865714	0.14061176	0.0169716022358488	0.14061072	0.0170394952256728	0.070306252	0.017108667372841	0.070309354	0.0169615373507043	0.070293472	0.0164574993711904	0.070300532	0.016421230240835	-0.058026124	0.0165104534886449	-0.058056258	0.0172208230212762	0.0422821038	0.01719394400859	0.0423561092	0.0170396720131631	
0.14761916	0.032877916	0.14762034	0.000665478209935115	0.14763074	0.000619365495439879	0.14761842	0.000636253866236257	0.14763112	0.000669299816715152	0.14762872	0.000673945297117807	0.14762578	-0.00224766747621205	0.14763162	0.000557297735969036	0.14763488	0.000532311557359557	0.14763148	0.000536079184212777	0.147636	0.000493477350865714	0.14764372	0.0169727222358488	0.14764244	0.0170268952256728	0.073821066	0.017104779372841	0.073827172	0.0169548873507043	0.073810242	0.0164511933711904	0.073818302	0.016417450240835	-0.0408966068	0.0164972674886449	-0.0409206384	0.0172149510212762	0.064366912	0.01717335400859	0.064416876	0.0170282960131631	
0.15466976	0.032880584	0.1546646	0.000662231709935115	0.1546835	0.000616227135439879	0.15467212	0.000630371026236257	0.15468784	0.000666159676715152	0.15467246	0.000670838677117807	0.154676	-0.00235135707621205	0.1546827	0.000554274095969036	0.15468906	0.000529244877359557	0.15468296	0.000532882804212777	0.15468932	0.000490101570865714	0.15469408	0.0169604462358488	0.15469176	0.0170247812256728	0.077330016	0.017105587372841	0.07733593	0.0169508833507043	0.077323388	0.0164493033711904	0.077329254	0.016417632240835	-0.0238281248	0.0164848694886449	-0.0238761884	0.0172146170212762	0.086477666	0.01715946400859	0.086555862	0.0170196800131631	
